ID	LENGTH									COUNT 	TIME STAMP
(X) 8482D0	8	0	0	0	80	0	0	0	0	7	2482
(X) 8482D7	8	0	0	0	0	0	0	0	0	7	2482
(X) 1840F4D0	8	1	0	0	0	0	0	0	0	8	1986
(X) 18FF01D0	8	0	0	70	D5	10	17	10	24	12	992
(X) 18FF02D0	4	BD	CA	7B	8A					B8	107
(X) 18FF03D0	6	0	D8	0	DA	0	D9			12	995
(X) 18FF04D0	6	0	D1	0	D1	0	D1			12	995
(X) 18FF05D0	8	27	0F	27	8	40	FE	C1	0F	12	996
(X) 18FF07D0	3	56	15	2						12	995
(X) 18FF0CD0	8	0	0	0	0	40	1C	50	A7	12	993
(X) 18FF0DD0	2	1	11							12	989
(X) 18FF0FD0	2	FF	FD							12	989
(X) 18FF10D0	3	0	0	0						7	2285
(X) 18FF11D0	3	0	0	0						7	2289
(X) 18FF12D0	3	0	0	0						7	2284
(X) 18FF13D0	3	0	0	0						7	2284
(X) 18FF14D0	3	0	0	0						7	2280
(X) 18FF15D0	3	0	0	0						7	2284
(X) 18FF16D0	3	0	0	0						7	2284
(X) 18FF17D0	3	0	0	0						7	2285
(X) 18FF18D0	3	0	0	0						7	2284
(X) 18FF19D0	3	0	0	0						7	2284
(X) 18FF1AD0	3	0	0	0						7	2285
(X) 18FF1BD0	3	0	0	0						8	2293
(X) 18FF1CD0	3	0	0	0						7	2284
(X) 18FF1DD0	3	0	0	0						7	2283
(X) 18FF1ED0	3	0	0	0						7	2295
(X) 18FF1FD0	3	0	0	0						7	2284
(X) 18FF20D0	3	0	0	0						7	2283
(X) 18FF21D0	3	0	0	0						7	2278
(X) 18FF22D0	3	0	0	0						7	2285
(X) 18FF23D0	3	0	0	0						7	2285
(X) 18FF24D0	3	0	0	0						7	2285
(X) 18FF25D0	3	0	0	0						7	2285
(X) 18FF26D0	3	0	0	0						7	2285
(X) 18FF2DD0	8	4	0	0	0	0	0	0	0	12	990
(X) 18FF2DD0	8	1	48	42	50	31	32	31	30	12	989
(X) 18FF2DD0	8	2	31	32	30	30	30	32	33	12	993
(X) 18FF2DD0	8	3	0	0	0	0	0	0	0	12	993
(X) 18FF2DD0	8	5	0	0	0	0	0	0	0	12	994
(X) 18FF30D0	8	0	3	10	1E	10	1B	10	1C	8A	104
(X) 18FF31D0	8	0	0	0	DA	0	D8	0	0	2D	398
(X) 18FF32D0	8	33	D6	A0	6	3D	9D	25	5A	12	989
(X) 18FF33D0	8	0	0	0	4	40	2C	CC	CD	12	989
(X) 18FF3CD0	4	D4	7B	28	7D					B8	108
(X) 18FF3DD0	8	44	9C	40	0	0	0	0	0	12	991
